date,direction,start_time,end_time,duration_s,num_bins,peak_time,peak_vx,peak_abs_vx,mean_vx,mean_vy,mean_vz
2017-01-03,tailward_fastflow_candidate,2017-01-03 07:22:45,2017-01-03 07:46:05,1405.0,281,2017-01-03 07:37:10,-389.5229187011719,389.5229187011719,-380.0949861248193,-19.607544817534205,29.64919551157018
2017-01-03,tailward_fastflow_candidate,2017-01-03 07:46:15,2017-01-03 07:48:05,115.0,23,2017-01-03 07:46:45,-374.235107421875,374.235107421875,-357.0320401399032,-23.75505880687548,48.81896806799847
2017-01-03,tailward_fastflow_candidate,2017-01-03 07:48:30,2017-01-03 07:49:20,55.0,11,2017-01-03 07:48:45,-335.2895202636719,335.2895202636719,-320.3732050115412,-32.638608412309125,65.66846604780717
2017-01-03,tailward_fastflow_candidate,2017-01-03 07:49:30,2017-01-03 11:19:30,12605.0,2521,2017-01-03 10:31:05,-482.4944152832031,482.4944152832031,-421.6281077208286,13.718273008188314,36.035062297759005
2017-01-03,tailward_fastflow_candidate,2017-01-03 11:19:55,2017-01-03 11:43:05,1395.0,279,2017-01-03 11:23:50,-455.8076477050781,455.8076477050781,-437.0374505374594,40.8329583718358,49.33272415933643
2017-01-03,tailward_fastflow_candidate,2017-01-03 12:29:30,2017-01-03 12:29:35,10.0,2,2017-01-03 12:29:35,-310.15185546875,310.15185546875,-305.86090087890625,170.4579620361328,110.98818969726562
2017-01-03,tailward_fastflow_candidate,2017-01-03 12:47:05,2017-01-03 12:47:55,55.0,11,2017-01-03 12:47:15,-410.97528076171875,410.97528076171875,-371.20813404430044,5.681688070297241,66.93759085915305
2017-01-03,tailward_fastflow_candidate,2017-01-03 12:49:00,2017-01-03 12:49:05,10.0,2,2017-01-03 12:49:05,-315.0997314453125,315.0997314453125,-314.61962890625,-64.67957496643066,2.268794059753418
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:06:30,2017-01-04 04:06:50,25.0,5,2017-01-04 04:06:40,-329.2845458984375,329.2845458984375,-323.7340148925781,-28.985168075561525,42.59323081970215
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:07:10,2017-01-04 04:07:45,40.0,8,2017-01-04 04:07:25,-345.4673767089844,345.4673767089844,-324.0444965362549,-31.26624619960785,37.34431600570679
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:08:25,2017-01-04 04:11:30,190.0,38,2017-01-04 04:09:10,-372.65264892578125,372.65264892578125,-340.9062588340358,-13.357474057297958,27.65862394634046
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:12:00,2017-01-04 04:12:10,15.0,3,2017-01-04 04:12:05,-330.133056640625,330.133056640625,-315.6222737630208,0.772087574005127,42.427781422932945
